timestamp,operating_mode,event_ground_truth,flow_in,flow_out,P_st1,P_st2,P_st3,P_st4,P_st5,P_st6
0.0,Flowing,NORMAL,500.68,499.45,50.04,41.989,34.052,26.122,17.981,9.981
0.1,Flowing,NORMAL,499.81,501.04,50.126,42.061,33.962,26.043,17.963,9.963
0.2,Flowing,NORMAL,500.49,499.7,50.019,41.847,33.862,25.955,17.919,10.025
0.3,Flowing,NORMAL,500.42,500.03,49.927,41.887,34.117,25.982,18.005,9.886
0.4,Flowing,NORMAL,499.39,499.91,49.956,42.009,33.908,26.03,17.952,9.977
0.5,Flowing,NORMAL,499.57,498.93,49.952,42.148,33.999,25.915,18.066,9.902
0.6,Flowing,NORMAL,500.72,499.79,50.017,41.843,33.894,26.016,18.059,10.014
0.7,Flowing,NORMAL,502.17,499.45,49.991,41.976,33.882,25.942,17.963,10.085
0.8,Flowing,NORMAL,501.45,499.17,50.027,41.859,34.026,25.969,17.946,10.049
0.9,Flowing,NORMAL,498.65,498.73,50.082,42.075,33.933,25.975,18.027,10.078
1.0,Flowing,NORMAL,498.65,499.88,49.962,41.985,33.911,25.904,18.065,10.108
1.1,Flowing,NORMAL,499.36,500.74,49.994,42.08,34.029,25.948,18.029,10.123
1.2,Flowing,NORMAL,500.12,501.34,49.997,42.125,33.79,26.066,18.007,9.976
1.3,Flowing,NORMAL,500.06,498.33,50.007,41.841,33.982,26.029,18.118,9.959
1.4,Flowing,NORMAL,501.49,501.93,49.935,41.96,34.073,26.026,17.958,10.041
1.5,Flowing,NORMAL,501.55,500.35,50.008,42.077,33.944,25.974,17.969,9.883
1.6,Flowing,NORMAL,500.01,498.65,50.024,42.021,34.0,25.981,17.887,9.966
1.7,Flowing,NORMAL,499.73,499.52,49.973,41.936,33.987,26.032,18.151,10.014
1.8,Flowing,NORMAL,500.62,497.75,50.021,41.994,33.846,25.998,18.005,10.197
1.9,Flowing,NORMAL,501.28,498.05,49.985,42.024,33.997,25.907,18.091,10.06
2.0,Flowing,NORMAL,500.66,502.07,50.063,41.927,34.112,25.888,18.047,10.175
2.1,Flowing,NORMAL,499.48,499.16,49.921,41.955,34.008,25.96,17.876,10.005
2.2,Flowing,NORMAL,499.27,500.64,49.915,42.038,33.926,26.124,17.937,9.974
2.3,Flowing,NORMAL,498.67,499.87,50.065,41.902,34.018,26.105,17.871,10.015
2.4,Flowing,NORMAL,500.23,500.02,50.021,42.063,33.901,25.894,18.042,10.024
2.5,Flowing,NORMAL,500.75,500.44,50.02,42.028,33.946,26.019,18.023,9.943
2.6,Flowing,NORMAL,500.88,497.5,50.149,42.038,33.905,26.053,17.922,10.063
2.7,Flowing,NORMAL,501.38,501.58,50.093,41.934,34.077,26.033,18.066,10.152
2.8,Flowing,NORMAL,501.78,499.88,49.98,41.94,33.929,25.935,17.994,10.027
2.9,Flowing,NORMAL,498.35,499.39,50.022,42.066,34.001,26.116,17.979,10.218
3.0,Flowing,NORMAL,500.49,500.56,50.05,41.931,33.914,26.039,17.982,10.057
3.1,Flowing,NORMAL,500.53,499.13,50.038,41.994,33.932,25.879,17.964,10.069
3.2,Flowing,NORMAL,499.91,500.25,50.017,41.9,34.014,26.031,17.929,10.012
3.3,Flowing,NORMAL,499.01,499.8,50.005,41.909,34.029,26.045,18.087,10.084
3.4,Flowing,NORMAL,501.73,500.85,49.89,41.925,34.041,26.041,18.041,10.308
3.5,Flowing,NORMAL,499.29,499.74,50.046,42.091,34.076,26.052,17.975,10.061
3.6,Flowing,NORMAL,497.37,498.76,49.938,41.981,33.961,26.007,18.185,9.851
3.7,Flowing,NORMAL,500.02,500.43,50.055,41.871,33.962,26.087,18.005,9.914
3.8,Flowing,NORMAL,499.71,499.68,49.943,42.054,33.942,26.017,18.004,9.948
3.9,Flowing,NORMAL,502.23,497.81,50.172,42.051,33.838,26.015,17.947,10.068
4.0,Flowing,NORMAL,500.59,500.24,49.937,41.991,34.04,26.069,17.904,9.973
4.1,Flowing,NORMAL,499.63,499.36,49.962,41.948,34.141,26.032,17.899,10.073
4.2,Flowing,NORMAL,499.76,500.41,50.17,42.083,33.878,25.961,18.101,9.943
4.3,Flowing,NORMAL,499.75,498.97,50.036,42.062,33.926,25.995,17.741,9.918
4.4,Flowing,NORMAL,502.66,498.55,49.98,41.9,34.131,25.886,17.965,10.01
4.5,Flowing,NORMAL,500.81,501.42,50.115,41.885,34.093,26.001,17.921,10.037
4.6,Flowing,NORMAL,498.31,501.01,50.016,41.952,34.006,25.969,18.009,10.053
4.7,Flowing,NORMAL,499.71,499.99,50.127,41.901,34.171,25.844,17.988,10.047
4.8,Flowing,NORMAL,499.97,500.53,50.022,41.95,33.983,25.961,17.953,10.068
4.9,Flowing,NORMAL,498.67,500.97,50.029,41.945,34.072,26.025,18.065,10.05
5.0,Flowing,NORMAL,497.86,499.99,49.934,41.955,34.06,26.049,17.998,10.009
5.1,Flowing,NORMAL,500.71,498.55,50.102,41.953,34.044,25.984,17.983,10.088
5.2,Flowing,NORMAL,499.03,500.36,50.066,42.065,34.104,26.002,18.055,9.975
5.3,Flowing,NORMAL,501.5,501.2,50.026,41.99,34.008,26.048,17.935,10.167
5.4,Flowing,NORMAL,500.01,500.71,49.92,41.903,34.093,26.063,18.05,10.05
5.5,Flowing,NORMAL,499.43,500.07,49.999,41.928,34.006,25.946,18.078,9.988
5.6,Flowing,NORMAL,497.1,500.68,49.934,41.974,34.033,25.955,17.934,10.019
5.7,Flowing,NORMAL,501.47,499.73,50.02,41.959,33.962,26.019,17.884,9.887
5.8,Flowing,NORMAL,500.35,501.25,49.943,41.983,34.025,26.118,18.069,9.987
5.9,Flowing,NORMAL,499.46,501.62,49.998,41.92,33.999,25.977,18.026,9.934
6.0,Flowing,NORMAL,498.93,498.44,50.042,42.123,33.991,26.032,18.055,9.968
6.1,Flowing,NORMAL,501.92,501.34,50.018,42.001,34.008,25.938,18.002,10.04
6.2,Flowing,NORMAL,498.72,502.68,50.116,42.077,34.172,25.939,18.07,10.015
6.3,Flowing,NORMAL,499.56,500.63,50.175,41.935,33.933,25.952,17.83,9.958
6.4,Flowing,NORMAL,500.68,501.18,49.939,42.012,34.027,26.15,18.076,9.954
